trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
352,False,"{'a': 0.002, 'e': 0.7635522230851051}",25,5,-42.69950193925459,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",1
353,False,"{'a': 0.002, 'e': 0.7622592046778476}",30,16,-2.2817055916205042,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
354,False,"{'a': 0.002, 'e': 0.7609631372347876}",20,0,-44.86798440782171,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
355,False,"{'a': 0.002, 'e': 0.7596640259401933}",20,0,-73.96983663717965,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
356,False,"{'a': 0.002, 'e': 0.7583618759905082}",25,0,-124.55046672146186,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
357,False,"{'a': 0.002, 'e': 0.7570566925943303}",20,0,-94.41740184049313,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
358,False,"{'a': 0.002, 'e': 0.7557484809723913}",20,6,-43.49149359826106,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 0}",1
359,False,"{'a': 0.002, 'e': 0.7544372463575362}",20,15,-2.117815527120649,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
360,False,"{'a': 0.002, 'e': 0.7531229939947015}",20,14,8.324559286517252,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.002, 'e': 0.7518057291408949}",20,0,20.267325563891802,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
362,False,"{'a': 0.002, 'e': 0.7504854570651743}",30,8,-108.6697234484293,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 1}",1
363,False,"{'a': 0.002, 'e': 0.7491621830486261}",30,10,-49.687495755382244,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",1
