trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
491,False,"{'a': 0.002, 'e': 0.5570225467662173}",25,3,-48.116722775266545,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
492,False,"{'a': 0.002, 'e': 0.5553604390878408}",25,0,-25.172267935798512,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
493,False,"{'a': 0.002, 'e': 0.5536961099684484}",25,9,-30.098508686514855,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 1}",1
494,False,"{'a': 0.002, 'e': 0.5520295660653544}",30,22,13.199886360357148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
495,False,"{'a': 0.002, 'e': 0.5503608140447321}",20,8,-11.348581763782647,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
496,False,"{'a': 0.002, 'e': 0.5486898605815875}",20,12,-24.480904555700484,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
497,False,"{'a': 0.002, 'e': 0.5470167123597323}",20,9,-5.9561885299403325,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
498,False,"{'a': 0.002, 'e': 0.5453413760717568}",20,0,-60.90960744196427,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
499,False,"{'a': 0.002, 'e': 0.5436638584190042}",20,0,-28.593472521808376,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
500,False,"{'a': 0.002, 'e': 0.5419841661115429}",25,0,-103.7319371844197,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
501,False,"{'a': 0.002, 'e': 0.5403023058681397}",20,14,-38.3485652657014,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
502,False,"{'a': 0.002, 'e': 0.5386182844162335}",20,10,-42.933436028771006,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
503,False,"{'a': 0.002, 'e': 0.5369321084919078}",25,0,-120.82388899575089,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
504,False,"{'a': 0.002, 'e': 0.5352437848398639}",30,21,-8.931635576455388,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
505,False,"{'a': 0.002, 'e': 0.5335533202133944}",25,0,11.250526328341742,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
506,False,"{'a': 0.002, 'e': 0.5318607213743555}",30,1,-103.28018052586603,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 1}",1
507,False,"{'a': 0.002, 'e': 0.5301659950931401}",20,0,-39.56058953671153,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
508,False,"{'a': 0.002, 'e': 0.5284691481486513}",25,20,9.791556154497165,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.002, 'e': 0.5267701873282746}",25,0,-35.07121486853903,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
510,False,"{'a': 0.002, 'e': 0.5250691194278508}",20,2,-5.276850573930052,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
511,False,"{'a': 0.002, 'e': 0.5233659512516495}",25,7,-51.66841104989606,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 0}",1
512,False,"{'a': 0.002, 'e': 0.521660689612341}",20,12,-9.022267347355102,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
513,False,"{'a': 0.002, 'e': 0.5199533413309696}",20,0,2.0481690526721987,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
514,False,"{'a': 0.002, 'e': 0.5182439132369261}",30,12,1.3942255862779602,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
515,False,"{'a': 0.002, 'e': 0.5165324121679207}",20,10,5.454340844977197,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
516,False,"{'a': 0.002, 'e': 0.5148188449699553}",25,0,-41.73756239342494,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
517,False,"{'a': 0.002, 'e': 0.5131032184972965}",30,12,-52.078881151828504,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
518,False,"{'a': 0.002, 'e': 0.5113855396124478}",30,18,-22.601837059513972,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
519,False,"{'a': 0.002, 'e': 0.5096658151861225}",20,0,-23.18581040248454,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
520,False,"{'a': 0.002, 'e': 0.507944052097216}",30,0,-111.42441109664618,"{0: 23, 1: 2, 2: 1, 3: 2, 4: 2}",0
521,False,"{'a': 0.002, 'e': 0.5062202572327784}",20,10,-29.369535312673378,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
522,False,"{'a': 0.002, 'e': 0.5044944374879867}",20,7,-17.100925869719937,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
523,False,"{'a': 0.002, 'e': 0.5027665997661179}",25,12,-31.023398214176684,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
524,False,"{'a': 0.002, 'e': 0.5010367509785203}",30,18,-32.71092629381232,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
525,False,"{'a': 0.002, 'e': 0.49930489804458683}",20,0,-48.724810124858436,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
526,False,"{'a': 0.002, 'e': 0.49757104789172696}",20,0,-78.56780053330333,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
527,False,"{'a': 0.002, 'e': 0.49583520745533893}",25,4,-113.70769740159336,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 2}",1
528,False,"{'a': 0.002, 'e': 0.4940973836787822}",20,0,10.530495325747449,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
529,False,"{'a': 0.002, 'e': 0.4923575835133495}",25,14,-1.9731989343009602,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
530,False,"{'a': 0.002, 'e': 0.4906158139182393}",25,19,-11.852098987274688,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
531,False,"{'a': 0.002, 'e': 0.4888720818605275}",20,0,-71.99009848944132,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
532,False,"{'a': 0.002, 'e': 0.48712639431514015}",20,0,-38.66382220159561,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
533,False,"{'a': 0.002, 'e': 0.485378758264825}",20,10,-27.147676712089755,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
534,False,"{'a': 0.002, 'e': 0.483629180700124}",20,8,-29.815383983789744,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
535,False,"{'a': 0.002, 'e': 0.481877668619345}",30,0,-58.98414499445779,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
536,False,"{'a': 0.002, 'e': 0.4801242290285341}",25,0,-9.929679075582248,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
537,False,"{'a': 0.002, 'e': 0.47836886894144715}",20,0,18.739477912264753,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
538,False,"{'a': 0.002, 'e': 0.47661159537952236}",20,11,2.608543775329365,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
539,False,"{'a': 0.002, 'e': 0.47485241537185147}",25,13,-9.999709019183948,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
540,False,"{'a': 0.002, 'e': 0.47309133595515224}",25,11,-19.535616208411767,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
541,False,"{'a': 0.002, 'e': 0.47132836417373997}",20,14,4.416377539499804,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.002, 'e': 0.46956350707949945}",25,0,-155.50849550963514,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",1
543,False,"{'a': 0.002, 'e': 0.4677967717318567}",20,12,11.465313299290921,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.002, 'e': 0.46602816519775075}",20,6,-9.74196877152396,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
545,False,"{'a': 0.002, 'e': 0.46425769455160537}",25,13,-29.75922345676661,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
546,False,"{'a': 0.002, 'e': 0.4624853668753008}",30,0,-68.99622777392489,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
547,False,"{'a': 0.002, 'e': 0.46071118925814536}",25,0,-115.24170818104281,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
548,False,"{'a': 0.002, 'e': 0.4589351687968472}",20,14,0.09752816012403187,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
549,False,"{'a': 0.002, 'e': 0.45715731259548575}",20,0,-22.611545012755712,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
550,False,"{'a': 0.002, 'e': 0.45537762776548346}",35,7,-92.63693224800238,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 2}",1
551,False,"{'a': 0.002, 'e': 0.4535961214255773}",25,15,4.737968158226909,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
552,False,"{'a': 0.002, 'e': 0.4518128007017902}",25,13,-20.42199301832215,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
553,False,"{'a': 0.002, 'e': 0.45002767272740274}",20,11,-5.738735769596725,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
554,False,"{'a': 0.002, 'e': 0.4482407446429244}",20,13,-3.688335587780273,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
555,False,"{'a': 0.002, 'e': 0.4464520235960651}",20,5,-16.697070920815108,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
556,False,"{'a': 0.002, 'e': 0.4446615167417068}",30,17,3.632748130307357,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
557,False,"{'a': 0.002, 'e': 0.4428692312418743}",20,0,-62.04089274596295,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
558,False,"{'a': 0.002, 'e': 0.44107517426570736}",20,5,26.245578906413847,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.002, 'e': 0.43927935298943144}",25,2,-40.68788053468218,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
560,False,"{'a': 0.002, 'e': 0.4374817745963293}",35,17,20.273864760168983,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
561,False,"{'a': 0.002, 'e': 0.4356824462767121}",25,7,-54.7657100688942,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
562,False,"{'a': 0.002, 'e': 0.43388137522789066}",25,12,9.70663098821311,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
563,False,"{'a': 0.002, 'e': 0.4320785686541468}",25,7,-46.42453452895844,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
564,False,"{'a': 0.002, 'e': 0.4302740337667045}",20,8,-2.5475101512050773,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
565,False,"{'a': 0.002, 'e': 0.42846777778370077}",30,4,-42.11515678622612,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 1}",1
566,False,"{'a': 0.002, 'e': 0.42665980793015723}",25,9,-79.56157952434506,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
567,False,"{'a': 0.002, 'e': 0.4248501314379508}",30,0,-11.816051785198361,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
568,False,"{'a': 0.002, 'e': 0.42303875554578513}",25,14,11.982195724308365,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.002, 'e': 0.42122568749916134}",25,9,-64.88585516996672,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
570,False,"{'a': 0.002, 'e': 0.41941093455034917}",20,13,12.067694563397321,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
571,False,"{'a': 0.002, 'e': 0.41759450395835795}",20,0,-11.343129529369678,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
572,False,"{'a': 0.002, 'e': 0.4157764029889078}",25,2,-74.87150731431203,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
573,False,"{'a': 0.002, 'e': 0.4139566389144}",20,0,-29.0496060476482,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
574,False,"{'a': 0.002, 'e': 0.4121352190138885}",20,3,-76.65038035646928,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
575,False,"{'a': 0.002, 'e': 0.4103121505730504}",25,15,8.631113266720092,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
576,False,"{'a': 0.002, 'e': 0.40848744088415717}",25,7,9.366859110887596,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
577,False,"{'a': 0.002, 'e': 0.40666109724604504}",20,3,-11.15373706197768,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
578,False,"{'a': 0.002, 'e': 0.4048331269640863}",30,17,-11.152712211935231,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
579,False,"{'a': 0.002, 'e': 0.4030035373501593}",20,0,-54.549924447791966,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
580,False,"{'a': 0.002, 'e': 0.4011723357226203}",25,9,-59.94684222319986,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
581,False,"{'a': 0.002, 'e': 0.3993395294062732}",25,16,-2.5722160414289306,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
582,False,"{'a': 0.002, 'e': 0.39750512573234104}",20,7,0.45314179440154967,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
583,False,"{'a': 0.002, 'e': 0.39566913203843584}",20,0,13.827219305281929,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
584,False,"{'a': 0.002, 'e': 0.3938315556685301}",20,0,9.095978199494038,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
585,False,"{'a': 0.002, 'e': 0.39199240397292684}",20,10,3.9439289713592736,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
586,False,"{'a': 0.002, 'e': 0.3901516843082303}",20,13,-29.024378263377518,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
587,False,"{'a': 0.002, 'e': 0.38830940403731673}",30,10,-9.371980616096778,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
588,False,"{'a': 0.002, 'e': 0.38646557052930475}",25,19,-1.3014370574216967,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
589,False,"{'a': 0.002, 'e': 0.38462019115952595}",20,6,-47.46963804416318,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
590,False,"{'a': 0.002, 'e': 0.38277327330949534}",25,8,-4.651170795462621,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
591,False,"{'a': 0.002, 'e': 0.38092482436688185}",20,5,-21.176680960576043,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
592,False,"{'a': 0.002, 'e': 0.3790748517254788}",25,6,-47.03248908813824,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
593,False,"{'a': 0.002, 'e': 0.37722336278517427}",20,0,-13.236488191924694,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
594,False,"{'a': 0.002, 'e': 0.37537036495192155}",25,7,-79.81228461153788,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
595,False,"{'a': 0.002, 'e': 0.37351586563770955}",25,17,2.62642629314274,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
596,False,"{'a': 0.002, 'e': 0.371659872260533}",20,14,0.0343547085053586,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
597,False,"{'a': 0.002, 'e': 0.36980239224436295}",25,8,8.098694195532211,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
598,False,"{'a': 0.002, 'e': 0.367943433019117}",20,9,-30.72988326199025,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
599,False,"{'a': 0.002, 'e': 0.36608300202062954}",20,10,-0.8000556543249115,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
600,False,"{'a': 0.002, 'e': 0.36422110669062213}",25,11,-2.430199563817804,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
601,False,"{'a': 0.002, 'e': 0.3623577544766736}",30,3,-59.7802123638797,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 2}",1
602,False,"{'a': 0.002, 'e': 0.3604929528321903}",20,13,3.7647564049195674,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
603,False,"{'a': 0.002, 'e': 0.35862670921637635}",30,0,-86.40564932463916,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
604,False,"{'a': 0.002, 'e': 0.35675903109420365}",25,7,-13.822134475408662,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
605,False,"{'a': 0.002, 'e': 0.3548899259363823}",20,15,8.786805060403848,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
606,False,"{'a': 0.002, 'e': 0.3530194012193304}",30,15,2.5732520125122864,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
607,False,"{'a': 0.002, 'e': 0.3511474644251443}",20,10,6.371130546929723,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
608,False,"{'a': 0.002, 'e': 0.34927412304156863}",20,0,-52.26970736080395,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
609,False,"{'a': 0.002, 'e': 0.34739938456196656}",30,0,-80.40288126598338,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
610,False,"{'a': 0.002, 'e': 0.3455232564852894}",25,3,-40.50843969168272,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
611,False,"{'a': 0.002, 'e': 0.34364574631604705}",20,0,-30.219127389230227,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
612,False,"{'a': 0.002, 'e': 0.3417668615642776}",20,14,9.043073168837807,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
613,False,"{'a': 0.002, 'e': 0.3398866097455176}",25,0,-11.110178643895532,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
614,False,"{'a': 0.002, 'e': 0.33800499838077175}",20,0,6.191187346553088,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
615,False,"{'a': 0.002, 'e': 0.3361220349964831}",20,16,6.307402671388318,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.002, 'e': 0.3342377271245026}",30,19,16.199619527738157,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.002, 'e': 0.33235208230205926}",20,8,-2.2138627930667836,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
618,False,"{'a': 0.002, 'e': 0.33046510807172985}",20,10,-22.064755859885047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
619,False,"{'a': 0.002, 'e': 0.3285768119814088}",20,1,-2.0897713611884825,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
620,False,"{'a': 0.002, 'e': 0.3266872015842779}",20,10,-2.6660349270239796,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
621,False,"{'a': 0.002, 'e': 0.32479628443877623}",20,12,-14.818150746878175,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
622,False,"{'a': 0.002, 'e': 0.3229040681085699}",20,13,12.72336162304129,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.002, 'e': 0.32101056016252166}",25,15,16.94015735200563,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.002, 'e': 0.3191157681746608}",30,8,20.972006605017306,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
625,False,"{'a': 0.002, 'e': 0.3172196997241527}",30,19,-10.487984496382367,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
626,False,"{'a': 0.002, 'e': 0.3153223623952687}",20,10,-6.970148388750686,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
627,False,"{'a': 0.002, 'e': 0.3134237637773555}",20,9,16.87444198705067,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.002, 'e': 0.3115239114648051}",30,0,-4.720245153719015,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",1
629,False,"{'a': 0.002, 'e': 0.3096228130570242}",25,0,-33.54150661926687,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
630,False,"{'a': 0.002, 'e': 0.3077204761584039}",25,13,0.38001236383074044,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
631,False,"{'a': 0.002, 'e': 0.30581690837828934}",20,9,6.546922920331575,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.002, 'e': 0.3039121173309489}",25,16,17.315085419775585,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.002, 'e': 0.30200611063554444}",20,12,0.5326138157997171,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
634,False,"{'a': 0.002, 'e': 0.3000988959161001}",20,0,-47.13662036588068,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
635,False,"{'a': 0.002, 'e': 0.2981904808014722}",25,14,11.702773335219634,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
636,False,"{'a': 0.002, 'e': 0.29628087292531874}",20,10,-26.188445925633335,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
637,False,"{'a': 0.002, 'e': 0.29437007992606856}",20,16,6.846092846014324,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
638,False,"{'a': 0.002, 'e': 0.29245810944689116}",30,12,-28.639309445237103,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
639,False,"{'a': 0.002, 'e': 0.29054496913566596}",20,16,6.65902955209842,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.002, 'e': 0.2886306666449516}",20,13,8.919072434779148,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
641,False,"{'a': 0.002, 'e': 0.2867152096319555}",20,10,18.829786246879728,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.002, 'e': 0.28479860575850313}",25,0,-2.0926026930704076,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
643,False,"{'a': 0.002, 'e': 0.2828808626910075}",35,18,-37.483715434747204,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
644,False,"{'a': 0.002, 'e': 0.28096198810043826}",25,0,28.12877697422055,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
645,False,"{'a': 0.002, 'e': 0.2790419896622912}",20,3,-2.0377766547657328,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
646,False,"{'a': 0.002, 'e': 0.2771208750565576}",30,10,41.67963563280993,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.002, 'e': 0.2751986519676933}",30,17,6.829175431409047,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
648,False,"{'a': 0.002, 'e': 0.273275328084588}",30,20,0.953181091638696,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
649,False,"{'a': 0.002, 'e': 0.2713509111005347}",20,14,2.6700109858057157,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
650,False,"{'a': 0.002, 'e': 0.26942540871319887}",25,9,-33.92185357941494,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
651,False,"{'a': 0.002, 'e': 0.26749882862458735}",20,0,26.058751599931288,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
652,False,"{'a': 0.002, 'e': 0.265571178541018}",20,0,2.3017030426874787,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
653,False,"{'a': 0.002, 'e': 0.2636424661730887}",20,13,11.658186395761001,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.002, 'e': 0.2617126992356461}",20,9,20.441219147744146,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.002, 'e': 0.25978188544775555}",25,15,16.71225067809468,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.002, 'e': 0.2578500325326696}",20,8,10.565376974225176,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.002, 'e': 0.2559171482177973}",25,9,6.599923237689049,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
658,False,"{'a': 0.002, 'e': 0.2539832402346734}",35,1,-7.002581204953072,"{0: 29, 1: 0, 2: 5, 3: 0, 4: 0}",1
659,False,"{'a': 0.002, 'e': 0.25204831631892716}",20,10,5.0295797664568695,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
660,False,"{'a': 0.002, 'e': 0.2501123842102517}",30,20,18.445375773117465,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.002, 'e': 0.2481754516523729}",20,14,-6.684303693355421,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
662,False,"{'a': 0.002, 'e': 0.24623752639301838}",25,7,-10.704401815484713,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
663,False,"{'a': 0.002, 'e': 0.24429861618388662}",20,8,-4.658938016047906,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
664,False,"{'a': 0.002, 'e': 0.24235872878061585}",20,12,3.5890224697045676,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
665,False,"{'a': 0.002, 'e': 0.2404178719427531}",20,13,11.410089850030491,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.002, 'e': 0.23847605343372313}",20,8,18.12072944788678,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.002, 'e': 0.2365332810207974}",25,3,-15.712102796481203,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
668,False,"{'a': 0.002, 'e': 0.23458956247506296}",20,9,19.184673725109537,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.002, 'e': 0.23264490557139142}",20,15,9.435606187243796,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.002, 'e': 0.2306993180884078}",20,14,10.77598616202353,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.002, 'e': 0.22875280780845939}",30,0,6.973715823608353,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",1
672,False,"{'a': 0.002, 'e': 0.22680538251758475}",20,6,22.366920506669217,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.002, 'e': 0.22485705000548248}",20,13,-1.2765000569569662,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
674,False,"{'a': 0.002, 'e': 0.22290781806547996}",20,8,24.255210419609394,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
